x,y,z,v
0,7,183,0.0472
0,8,68,0.049
0,8,126,0.0628
0,9,31,0.0859
0,10,17,0.0573
0,17,146,0.057
0,20,62,0.0499
0,25,110,0.0699
0,29,111,0.2385
0,31,155,0.2844
0,34,95,0.0734
0,35,35,0.2495
0,44,83,0.0721
0,44,113,0.2089
0,44,179,0.0453
0,53,103,0.0375
0,58,176,0.0594
0,60,31,0.2152
0,61,136,0.0815
0,61,146,0.2473
0,61,150,0.0428
0,68,51,0.0419
0,73,83,0.1137
0,77,84,0.0675
0,79,195,0.0711
0,82,60,0.2915
0,84,112,0.3032
0,86,15,0.2972
0,103,30,0.0416
0,112,194,0.0654
0,113,94,0.0448
0,114,134,0.0968
0,125,198,0.2353
0,128,112,0.2331
0,129,30,0.183
0,130,58,0.0842
0,133,39,0.0623
0,137,130,0.2388
0,141,92,0.2434
0,148,113,0.1151
0,149,144,0.2441
0,152,121,0.0508
0,163,125,0.2442
0,173,152,0.2054
0,189,63,0.2201
1,13,8,0.0837
1,16,89,0.2472
1,19,156,0.2412
1,21,88,0.2173
1,28,19,0.2381
1,34,181,0.057
1,35,175,0.0397
1,44,106,0.1979
1,47,127,0.2153
1,51,49,0.2485
1,62,96,0.1254
1,72,39,0.1019
1,75,20,0.101
1,87,164,0.0854
1,94,115,0.2581
1,95,67,0.2469
1,100,5,0.0448
1,104,2,0.0732
1,107,104,0.0465
1,112,157,0.2431
1,113,21,0.0478
1,117,108,0.0565
1,119,38,0.0542
1,120,122,0.0323
1,122,58,0.0364
1,124,22,0.06
1,127,23,0.0735
1,141,14,0.0484
1,147,38,0.0649
1,153,103,0.044
1,157,19,0.1012
1,166,73,0.0522
1,171,133,0.2441
1,174,159,0.0674
1,180,78,0.0529
1,188,37,0.0527
1,189,100,0.0512
1,197,95,0.0862
2,3,178,0.0404
2,14,107,0.1146
2,15,99,0.1042
2,19,133,0.0608
2,38,88,0.0595
2,45,79,0.1023
2,46,196,0.1101
2,50,199,0.0665
2,52,156,0.2334
2,53,177,0.2448
2,57,196,0.0597
2,59,9,0.0448
2,59,139,0.0665
2,66,58,0.0521
2,67,15,0.0509
2,68,89,0.0525
2,72,97,0.0866
2,75,111,0.0798
2,79,183,0.0865
2,84,78,0.0591
2,84,146,0.2407
2,90,181,0.0363
2,99,97,0.0812
2,99,154,0.0446
2,115,74,0.1116
2,125,57,0.0479
2,128,15,0.0824
2,129,164,0.0501
2,150,187,0.2423
2,158,35,0.2379
2,158,97,0.2559
2,163,26,0.1231
2,164,89,0.2358
2,169,198,0.1051
2,178,124,0.0549
2,179,22,0.2367
2,179,143,0.0982
2,181,131,0.0848
2,182,148,0.1094
2,193,118,0.2968
2,195,100,0.2955
2,199,186,0.1061
3,3,9,0.0322
3,15,163,0.0472
3,18,165,0.2414
3,24,46,0.0607
3,29,22,0.0586
3,29,148,0.0464
3,35,124,0.2012
3,39,173,0.0857
3,42,48,0.2071
3,42,152,0.0952
3,42,168,0.0944
3,62,152,0.0643
3,64,22,0.046
3,72,154,0.0464
3,73,73,0.0648
3,76,5,0.2087
3,80,53,0.227
3,80,65,0.0478
3,90,193,0.0424
3,91,35,0.0431
3,93,54,0.0325
3,96,146,0.0757
3,104,17,0.1062
3,116,93,0.21
3,132,3,0.0912
3,132,126,0.0887
3,139,140,0.0707
3,147,116,0.2006
3,149,123,0.0973
3,155,22,0.075
3,159,68,0.0787
3,162,29,0.2464
3,166,123,0.2406
3,171,146,0.0949
3,178,132,0.0704
3,182,29,0.0706
3,182,105,0.2196
3,183,8,0.0777
3,190,106,0.0651
3,191,95,0.2008
4,1,94,0.0523
4,7,63,0.2175
4,27,187,0.0927
4,30,88,0.2171
4,30,111,0.2538
4,42,107,0.2176
4,43,53,0.2382
4,47,164,0.0374
4,50,87,0.1151
4,61,14,0.217
4,76,156,0.0656
4,79,160,0.0749
4,80,60,0.0649
4,92,170,0.0734
4,93,90,0.0682
4,93,145,0.0755
4,97,169,0.273
4,101,191,0.0552
4,107,135,0.0813
4,114,131,0.0484
4,116,187,0.065
4,126,70,0.0918
4,126,176,0.1021
4,138,167,0.0603
4,144,199,0.0995
4,145,50,0.2273
4,147,185,0.0521
4,149,184,0.2657
4,151,120,0.0475
4,156,108,0.0505
4,161,17,0.0504
4,161,133,0.238
4,164,126,0.2655
4,166,104,0.0655
4,167,164,0.2224
4,174,44,0.0756
4,177,77,0.0656
4,182,117,0.0534
4,188,63,0.0952
4,192,93,0.0498
4,197,75,0.0884
5,0,3,0.2265
5,7,104,0.0307
5,8,143,0.1154
5,14,94,0.2263
5,16,190,0.0933
5,24,187,0.2355
5,27,50,0.0521
5,31,87,0.0742
5,32,57,0.2409
5,36,110,0.2947
5,47,94,0.0761
5,55,65,0.0514
5,55,86,0.0998
5,59,12,0.2466
5,60,110,0.2248
5,79,102,0.2432
5,80,40,0.069
5,86,50,0.2439
5,88,3,0.0396
5,106,37,0.2389
5,111,0,0.2463
5,111,172,0.2505
5,117,38,0.2614
5,118,2,0.2378
5,118,18,0.0664
5,120,154,0.2686
5,122,15,0.2574
5,122,193,0.2758
5,124,51,0.0604
5,124,100,0.0455
5,148,184,0.2657
5,151,8,0.0812
5,170,158,0.2368
5,178,11,0.0657
5,178,69,0.0979
5,179,7,0.2517
5,185,123,0.1051
6,6,103,0.2644
6,6,112,0.2419
6,11,69,0.2065
6,16,179,0.053
6,20,182,0.2277
6,32,25,0.0606
6,36,138,0.2382
6,40,28,0.0516
6,41,97,0.2252
6,50,103,0.2604
6,59,0,0.0646
6,59,8,0.0672
6,61,74,0.2367
6,62,165,0.2233
6,66,46,0.2488
6,81,98,0.2489
6,82,180,0.0448
6,84,165,0.0677
6,88,73,0.2512
6,100,42,0.0425
6,102,136,0.0921
6,105,71,0.0378
6,106,33,0.036
6,111,27,0.0536
6,122,175,0.2791
6,133,146,0.306
6,139,75,0.1136
6,141,132,0.3082
6,142,166,0.3097
6,142,179,0.2821
6,144,156,0.0943
6,149,72,0.1121
6,163,166,0.0548
6,164,110,0.2278
6,169,135,0.2248
6,170,120,0.2267
6,174,103,0.2515
6,185,195,0.2347
6,186,84,0.045
6,187,117,0.2876
6,191,175,0.2413
6,192,33,0.0885
7,5,20,0.2427
7,11,7,0.0553
7,13,16,0.0924
7,14,83,0.244
7,15,178,0.2429
7,21,68,0.0629
7,24,32,0.301
7,27,75,0.2651
7,29,100,0.052
7,34,70,0.2482
7,34,110,0.2372
7,35,136,0.0657
7,39,149,0.0639
7,45,39,0.1055
7,52,132,0.1059
7,58,109,0.0961
7,58,119,0.2982
7,59,118,0.0588
7,61,193,0.0305
7,67,194,0.0669
7,71,199,0.2379
7,72,107,0.2434
7,84,66,0.0853
7,85,48,0.2966
7,92,16,0.2862
7,98,188,0.2875
7,102,161,0.0483
7,117,1,0.0528
7,125,133,0.2481
7,130,94,0.2436
7,132,111,0.219
7,145,132,0.2378
7,146,153,0.0525
7,150,171,0.2273
7,157,10,0.2525
7,159,30,0.2584
7,164,129,0.2749
7,169,109,0.0588
7,171,108,0.0313
7,176,117,0.1127
7,180,27,0.0708
7,180,150,0.2626
7,184,193,0.0377
7,188,178,0.0474
7,190,11,0.0566
7,194,2,0.0281
7,197,159,0.2619
7,199,135,0.1098
8,0,89,0.2657
8,15,74,0.2797
8,17,17,0.0851
8,36,69,0.0943
8,39,166,0.27
8,46,35,0.0924
8,60,13,0.2527
8,66,74,0.2421
8,69,75,0.2555
8,73,118,0.2651
8,76,65,0.2213
8,79,95,0.1058
8,89,40,0.0691
8,99,49,0.0568
8,102,15,0.0495
8,103,135,0.0893
8,114,24,0.2572
8,117,3,0.2728
8,118,156,0.0455
8,122,139,0.2589
8,125,42,0.0486
